product_id,brand,product_name,identity_name,subtitle,product_type,category,subcategory,category_path,collection_or_series,price,market_price,currency,size,size_value,size_unit,description,long_description,notes,fragrance,ingredients,usage_tips,formula,story,savoir_faire,characteristics,primary_image,image_list,product_url,sku,spu,stock,status,search_text,entity_tags,source
edt-trois-fl-101,Diptyque,三重水淡香水,三重水淡香水,没药、岩玫瑰、焚香、迷迭香,fragrance,个人香氛,淡香水,个人香氛 | 探索全部 | 淡香水,,1420,1420,CNY,100ML,100,ML,打开修道院的大门，灌木树脂的清香扑鼻而来，其间还夹杂着祭祀用的焚香和没药留下的气息。,祭拜期间焚烧没药。在烈日下长途跋涉后抵达阿索斯山顶的修道院。,没药 | 岩玫瑰 | 焚香 | 迷迭香,,变性乙醇 | 水 | 香精,,,这款香氛的名称由来本身就是个谜。“三”到底指的是东方三贤士、Diptyque的三位创始人，还是品牌推出的第三款香水呢？,大千之境纯色椭圆玻璃烛杯为三层叠加结构，精妙夺目之余，更与Diptyque经典标志完美呼应。此系列由玻璃艺术家Cristina Celestino以其出众的装饰品位与汲取自然灵感的线条风格，为品 牌量身打造。烛杯采用压制玻璃工艺，完美还原设计亦展现精湛的技艺。 每款香氛都诉说着一段嗅觉叙事; 每颗蜡烛都在透过袅袅香气讲述其所代表之地的动人篇章。调香师Olivia Giacobetti精心设计的香氛气息中融合着丰富优质的天然原料及Diptyque独特的调香技艺。,,https://www.diptyque-cn.com/media/catalog/product/2/2/222222__.png,https://www.diptyque-cn.com/media/catalog/product/2/2/222222__.png | https://www.diptyque-cn.com/media/catalog/product/2/1/2111111__.png,https://www.diptyque-cn.com/p/edt-trois-fl-101.html,TROIS100V2,EDTTROIS100V1,3,1,三重水淡香水 | 没药、岩玫瑰、焚香、迷迭香 | fragrance | 个人香氛 | 淡香水 | 个人香氛 | 探索全部 | 淡香水 | 没药 | 岩玫瑰 | 焚香 | 迷迭香 | 打开修道院的大门，灌木树脂的清香扑鼻而来，其间还夹杂着祭祀用的焚香和没药留下的气息。 | 祭拜期间焚烧没药。在烈日下长途跋涉后抵达阿索斯山顶的修道院。 | 这款香氛的名称由来本身就是个谜。“三”到底指的是东方三贤士、Diptyque的三位创始人，还是品牌推出的第三款香水呢？,没药 | 岩玫瑰 | 焚香 | 迷迭香 | 个人香氛 | 淡香水 | fragrance,diptyque_official_website
oyedo-eau-de-toilette-1,Diptyque,东京淡香水,东京淡香水,柚子、青柑、百里香、覆盆子,fragrance,个人香氛,淡香水,个人香氛 | 探索全部 | 淡香水,,1420,1420,CNY,100ML,100,ML,日本古代皇城的气息。以柚子略带辛香的清爽气息展现。,以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。如此诗意的搭配灵感源自日本的古代皇城——江户。,柚子 | 青柑 | 百里香 | 覆盆子,,变性乙醇 | 香精 | 水,,,柚子是一种来自亚洲的柑橘类水果。灵感源自日本的古代皇城——江户。以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。,,,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-100ml-oyedo100-1.jpg,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-100ml-oyedo100-1.jpg | https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-100ml-oyedo100-2.jpg | https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-100ml-oyedo100-3.jpg,https://www.diptyque-cn.com/p/oyedo-eau-de-toilette-1.html,OYEDO100V3,EDTOYEDO,7,1,东京淡香水 | 柚子、青柑、百里香、覆盆子 | fragrance | 个人香氛 | 淡香水 | 个人香氛 | 探索全部 | 淡香水 | 柚子 | 青柑 | 百里香 | 覆盆子 | 日本古代皇城的气息。以柚子略带辛香的清爽气息展现。 | 以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。如此诗意的搭配灵感源自日本的古代皇城——江户。 | 柚子是一种来自亚洲的柑橘类水果。灵感源自日本的古代皇城——江户。以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。,柚子 | 青柑 | 百里香 | 覆盆子 | 个人香氛 | 淡香水 | fragrance,diptyque_official_website
eau-toilette-oyedo-50ml-1,Diptyque,东京淡香水,东京淡香水,柚子、青柑、百里香、覆盆子,perfume,个人香氛,淡香水,个人香氛 | 探索全部 | 淡香水,,1050,1050,CNY,50ML,50,ML,日本古代皇城的气息。以柚子略带辛香的清爽气息展现。,以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。如此诗意的搭配灵感源自日本的古代皇城——江户。,柚子 | 青柑 | 百里香 | 覆盆子,,变性乙醇 | 香精 | 水,,,柚子是一种来自亚洲的柑橘类水果。灵感源自日本的古代皇城——江户。以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。,,,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-50ml-oyedo50-1.jpg,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-50ml-oyedo50-1.jpg | https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-50ml-oyedo50-2.jpg | https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-oyedo-eau-de-toilette-50ml-oyedo50-3.jpg,https://www.diptyque-cn.com/p/eau-toilette-oyedo-50ml-1.html,OYEDO50V3,EDTOYEDO,10,1,东京淡香水 | 柚子、青柑、百里香、覆盆子 | perfume | 个人香氛 | 淡香水 | 个人香氛 | 探索全部 | 淡香水 | 柚子 | 青柑 | 百里香 | 覆盆子 | 日本古代皇城的气息。以柚子略带辛香的清爽气息展现。 | 以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。如此诗意的搭配灵感源自日本的古代皇城——江户。 | 柚子是一种来自亚洲的柑橘类水果。灵感源自日本的古代皇城——江户。以柚子为主调的香氛中还融入了覆盆子与百里香的果香，呈现出清冷优雅的独特芬芳。,柚子 | 青柑 | 百里香 | 覆盆子 | 个人香氛 | 淡香水 | perfume,diptyque_official_website
velvet-hand-lotion-glass-1,Diptyque,丝绒护手乳,丝绒护手乳,富含芝麻籽油、罗马洋甘菊、蜂蜜、甘草和甜杏仁成分,body care,手部护肤,身体护理,人气精选 | 手部护肤 | 探索全部 | 身体护理,,640,640,CNY,350ML,350,ML,细腻的香气将双手轻柔包裹，令人不知不觉沉溺其中。,令人垂涎的新鲜气息来自于甜杏仁与苦橙，融合温暖的维吉尼亚雪松。,富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分,,水 | 霍霍巴(SIMMONDSIA CHINENSIS)籽油 | 甘油 | 辛酸/癸酸甘油三酯 | 甘油三(乙基己酸)酯 | 二辛基醚 | 香精 | 氢化植物油 | 桃(PRUNUS PERSICA)核仁油 | 月桂基葡糖苷 | 聚甘油-2 二聚羟基硬脂酸酯 | 白花春黄菊(ANTHEMIS NOBILIS)花水 | 意大利腊菊(HELICHRYSUM ITALICUM)花水 | 山嵛醇 | 苯氧乙醇 | 甲氧基肉桂酸乙基己酯 | 黄原胶 | 芝麻(SESAMUM INDICUM)籽油 | 季戊四醇二硬脂酸酯 | 光果甘草(GLYCYRRHIZA GLABRA)叶提取物 | 蜂蜜 | 聚丙烯酸钠 | 氯苯甘醚 | 水杨酸乙基己酯 | 苯甲酸钠 | 丁基甲氧基二苯甲酰基甲烷 | 柠檬酸。其他微量成分：硬脂酰谷氨酸钠 | 生育酚乙酸酯 | 甜扁桃(PRUNUS AMYGDALUSDULCIS)油 | 聚山梨醇酯-20 | 甘油硬脂酸酯 | 鲸蜡硬脂基葡糖苷 | 库拉索芦荟(ALOE BARBADENSIS)叶汁粉 | 甘油硬脂酸酯 SE | 苯甲酸 | 苯甲醇 | 亚油酸 | 脱氢乙酸 | 丁羟甲苯 | 氢氧化钠 | 乙基己基甘油 | 山梨酸钾 | 油酸 | 生育酚(维生素E) | 棕榈酸 | 硬脂酸 | 叔丁基氢醌 | 亚麻酸）,沾取适量产品，从指尖至手腕，轻轻地涂抹均匀。,香气： 怡人的甜杏仁香气结合鲜明的苦橙叶气息，并透出维珍尼亚雪松的温暖气息。,,,,https://www.diptyque-cn.com/media/catalog/product/1/1/11111___2.png,https://www.diptyque-cn.com/media/catalog/product/1/1/11111___2.png | https://www.diptyque-cn.com/media/catalog/product/2/2/22222___4.png,https://www.diptyque-cn.com/p/velvet-hand-lotion-glass-1.html,HANDLOTIONG,HANDLOT1,0,1,丝绒护手乳 | 富含芝麻籽油、罗马洋甘菊、蜂蜜、甘草和甜杏仁成分 | body care | 手部护肤 | 身体护理 | 人气精选 | 手部护肤 | 探索全部 | 身体护理 | 富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分 | 细腻的香气将双手轻柔包裹，令人不知不觉沉溺其中。 | 令人垂涎的新鲜气息来自于甜杏仁与苦橙，融合温暖的维吉尼亚雪松。 | 沾取适量产品，从指尖至手腕，轻轻地涂抹均匀。,富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分 | 手部护肤 | 身体护理 | body care,diptyque_official_website
refill-velvet-hand-lotion-1,Diptyque,丝绒护手乳补充装,丝绒护手乳补充装,富含芝麻籽油、罗马洋甘菊、蜂蜜、甘草和甜杏仁成分,body care,手部护肤,身体护理,手部护肤 | 探索全部 | 补充装 | 身体护理,,430,430,CNY,350ML,350,ML,细腻的香气将双手轻柔包裹，令人不知不觉沉溺其中。,令人垂涎的新鲜气息来自于甜杏仁与苦橙，融合温暖的维吉尼亚雪松。,富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分,补充装,水 | 霍霍巴（SIMMONDSIA CHINENSIS）籽油 | 甘油 | 辛酸/癸酸甘油三酯 | 甘油三（乙基己酸）酯 | 二辛基醚 | 香精 | 氢化植物油 | 桃（PRUNUS PERSICA）核仁油 | 聚甘油-2 二聚羟基硬脂酸酯 | 月桂基葡糖苷 | 白花春黄菊（ANTHEMIS NOBILIS）花水 | 意大利腊菊（HELICHRYSUM ITALICUM）花水 | 山嵛醇 | 苯氧乙醇 | 甲氧基肉桂酸乙基己酯 | 季戊四醇二硬脂酸酯 | 光果甘草（GLYCYRRHIZA GLABRA）叶提取物 | 蜂蜜 | 芝麻（SESAMUM INDICUM）籽油 | 黄原胶 | 聚丙烯酸钠 | 氯苯甘醚 | 水杨酸乙基己酯 | 苯甲酸钠 | 丁基甲氧基二苯甲酰基甲烷 | 柠檬酸。其他微量成分：硬脂酰谷氨酸钠 | 生育酚乙酸酯 | 甘油硬脂酸酯 | 聚山梨醇酯-20 | 库拉索芦荟（ALOE BARBADENSIS）叶汁粉 | 苯甲醇 | 亚油酸 | 丁羟甲苯 | 山梨酸钾 | 油酸 | 生育酚（维生素E） | 脱氢乙酸 | 棕榈酸 | 硬脂酸 | 亚麻酸,沾取适量产品，从指尖至手腕，轻轻地涂抹均匀。,香气： 怡人的甜杏仁香气结合鲜明的苦橙叶气息，并透出维珍尼亚雪松的温暖气息。,,,,https://www.diptyque-cn.com/media/catalog/product/1/0/10_recharge_emulsion_velours.jpg,https://www.diptyque-cn.com/media/catalog/product/1/0/10_recharge_emulsion_velours.jpg | https://www.diptyque-cn.com/media/catalog/product/1/0/10_recharge_emulsion_velours_cu.jpg,https://www.diptyque-cn.com/p/refill-velvet-hand-lotion-1.html,RHANDLOTION1,HANDLOT2,12,1,丝绒护手乳补充装 | 富含芝麻籽油、罗马洋甘菊、蜂蜜、甘草和甜杏仁成分 | body care | 手部护肤 | 身体护理 | 手部护肤 | 探索全部 | 补充装 | 身体护理 | 富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分 | 补充装 | 细腻的香气将双手轻柔包裹，令人不知不觉沉溺其中。 | 令人垂涎的新鲜气息来自于甜杏仁与苦橙，融合温暖的维吉尼亚雪松。 | 沾取适量产品，从指尖至手腕，轻轻地涂抹均匀。,富含芝麻籽油 | 罗马洋甘菊 | 蜂蜜 | 甘草和甜杏仁成分 | 手部护肤 | 身体护理 | body care,diptyque_official_website
34-boulevard-saint-germain-candle-300g-remavp,Diptyque,中号香氛蜡烛-圣日尔曼大道34号,中号香氛蜡烛,木质香调,candle,中号香氛蜡烛,香氛蜡烛,中号香氛蜡烛 | 圣日尔曼大道34号 | 家居香氛 | 香氛蜡烛,圣日尔曼大道34号,920,920,CNY,300G,300,G,圣日尔曼大道34号香氛蜡烛散发出清新中略带绿意，夹杂着些许辛辣的气息。潮湿的苔藓、皱起的黑醋栗叶、晒干的无花果树叶，都是令人钟爱的香气原料。,乳白色的玻璃杯封存并描绘Diptyque首间精品店的味道。烛芯点燃，生活的艺术浮现在眼前：雅致、创意、自由。,木质香调,,,-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。,,,,-适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,https://www.diptyque-cn.com/media/catalog/product/3/4/34b300v1_1_ydwxk9dbeu0yutc1.jpg,https://www.diptyque-cn.com/media/catalog/product/3/4/34b300v1_1_ydwxk9dbeu0yutc1.jpg | https://www.diptyque-cn.com/media/catalog/product/3/4/34b300v1_2_bgzw2ttwwpprntkw.jpg | https://www.diptyque-cn.com/media/catalog/product/3/4/34b300v1_3_ke7xzf9oc4yinodp.jpg,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-candle-300g-remavp.html,34B300V1,CANDLE34B300,4,1,中号香氛蜡烛-圣日尔曼大道34号 | 中号香氛蜡烛 | 木质香调 | candle | 香氛蜡烛 | 中号香氛蜡烛 | 圣日尔曼大道34号 | 家居香氛 | 香氛蜡烛 | 圣日尔曼大道34号 | 圣日尔曼大道34号香氛蜡烛散发出清新中略带绿意，夹杂着些许辛辣的气息。潮湿的苔藓、皱起的黑醋栗叶、晒干的无花果树叶，都是令人钟爱的香气原料。 | 乳白色的玻璃杯封存并描绘Diptyque首间精品店的味道。烛芯点燃，生活的艺术浮现在眼前：雅致、创意、自由。 | -第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。 | -适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,木质香调 | 中号香氛蜡烛 | 香氛蜡烛 | candle | 圣日尔曼大道34号,diptyque_official_website
bougie-figuier-verte-remavp,Diptyque,中号香氛蜡烛-无花果,中号香氛蜡烛,果香调,candle,中号香氛蜡烛,香氛蜡烛,中号香氛蜡烛 | 家居香氛 | 无花果 | 香氛蜡烛,无花果,920,920,CNY,300G,300,G,地中海边宽广的无花果树林散发出阵阵木质香气。正午的太阳与暖风带来浓郁的树木气息，还伴随着清新的无花果实的香气。,手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。一整棵令人着迷的无花果树在此呈现。,果香调,,,-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。,,,,-适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,https://www.diptyque-cn.com/media/catalog/product/f/i/fiv3_1_slmidb6yahh2otni.jpg,https://www.diptyque-cn.com/media/catalog/product/f/i/fiv3_1_slmidb6yahh2otni.jpg | https://www.diptyque-cn.com/media/catalog/product/f/i/fiv3_2_m5whrpqhjfcc0bx8.jpg | https://www.diptyque-cn.com/media/catalog/product/f/i/fiv3_3_rjpa1nfu2ozxkjp3.jpg,https://www.diptyque-cn.com/p/bougie-figuier-verte-remavp.html,FIV3,CANDLEFIV2,1,1,中号香氛蜡烛-无花果 | 中号香氛蜡烛 | 果香调 | candle | 香氛蜡烛 | 中号香氛蜡烛 | 家居香氛 | 无花果 | 香氛蜡烛 | 无花果 | 地中海边宽广的无花果树林散发出阵阵木质香气。正午的太阳与暖风带来浓郁的树木气息，还伴随着清新的无花果实的香气。 | 手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。一整棵令人着迷的无花果树在此呈现。 | -第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。 | -适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,果香调 | 中号香氛蜡烛 | 香氛蜡烛 | candle | 无花果,diptyque_official_website
tubereuse-candle-300g-remavp,Diptyque,中号香氛蜡烛-晚香玉,中号香氛蜡烛,花香调,candle,中号香氛蜡烛,香氛蜡烛,中号香氛蜡烛 | 家居香氛 | 晚香玉 | 香氛蜡烛,晚香玉,920,920,CNY,300G,300,G,印度南部大片大片的晚香玉花田内芬芳四溢，白色花朵的香气令人沉醉。纤细挺拔的根茎上，花香沁人心脾、绿意清新，且略带果香与乳香。,手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。,花香调,,,-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。,,,,-适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,https://www.diptyque-cn.com/media/catalog/product/t/b/tbr3_4.jpg,https://www.diptyque-cn.com/media/catalog/product/t/b/tbr3_4.jpg | https://www.diptyque-cn.com/media/catalog/product/t/b/tbr3_1_1.jpg | https://www.diptyque-cn.com/media/catalog/product/t/b/tbr3revamp_1.jpg,https://www.diptyque-cn.com/p/tubereuse-candle-300g-remavp.html,TBR3,CANDLETBR2,4,1,中号香氛蜡烛-晚香玉 | 中号香氛蜡烛 | 花香调 | candle | 香氛蜡烛 | 中号香氛蜡烛 | 家居香氛 | 晚香玉 | 香氛蜡烛 | 晚香玉 | 印度南部大片大片的晚香玉花田内芬芳四溢，白色花朵的香气令人沉醉。纤细挺拔的根茎上，花香沁人心脾、绿意清新，且略带果香与乳香。 | 手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。 | -第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。 | -适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,花香调 | 中号香氛蜡烛 | 香氛蜡烛 | candle | 晚香玉,diptyque_official_website
bougie-baie-berries-remavp,Diptyque,中号香氛蜡烛-浆果香,中号香氛蜡烛,果香调,candle,中号香氛蜡烛,香氛蜡烛,中号香氛蜡烛 | 家居香氛 | 浆果香 | 香氛蜡烛,浆果香,920,920,CNY,300G,300,G,初摘下的黑醋栗浆果满含酸涩清新的气息。几串黑色浆果带着叶片的绿意芬芳，与玫瑰的动人花香融合。,手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。浆果香氛蜡烛诉说着花朵与果实融合的和谐篇章。,果香调,,,-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。,,,,-适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,https://www.diptyque-cn.com/media/catalog/product/b/n/bn3_1_4hpfbd6riaij8epr.jpg,https://www.diptyque-cn.com/media/catalog/product/b/n/bn3_1_4hpfbd6riaij8epr.jpg | https://www.diptyque-cn.com/media/catalog/product/b/n/bn3_3_puokbrkvlu0ztooz.jpg | https://www.diptyque-cn.com/media/catalog/product/b/n/bn3_2_djspwn5klpynwesr.jpg,https://www.diptyque-cn.com/p/bougie-baie-berries-remavp.html,BN3,CANDLEBAIESBN2,2,1,中号香氛蜡烛-浆果香 | 中号香氛蜡烛 | 果香调 | candle | 香氛蜡烛 | 中号香氛蜡烛 | 家居香氛 | 浆果香 | 香氛蜡烛 | 浆果香 | 初摘下的黑醋栗浆果满含酸涩清新的气息。几串黑色浆果带着叶片的绿意芬芳，与玫瑰的动人花香融合。 | 手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。浆果香氛蜡烛诉说着花朵与果实融合的和谐篇章。 | -第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。 | -适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,果香调 | 中号香氛蜡烛 | 香氛蜡烛 | candle | 浆果香,diptyque_official_website
feu-bois-wood-fire-candle-remavp,Diptyque,中号香氛蜡烛-炭木香,中号香氛蜡烛,木质香调,candle,中号香氛蜡烛,香氛蜡烛,中号香氛蜡烛 | 炭木香 | 香氛蜡烛,炭木香,920,920,CNY,300G,300,G,冬日降临，壁炉中燃烧着炭火，光影交错。木头噼啪作响，缓缓散发出浓郁的烟熏香气。,灰色手工吹制的玻璃烛罐，隐约透出微微烛光。传来木头的浓郁烟熏香气。,木质香调,,,-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。,,,,-适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,https://www.diptyque-cn.com/media/catalog/product/b/o/bougie-feu-de-bois-300g_classic-candle-revamp-2026_fbg3_rvb_hd_fond-gris_spec-ecom_2292x3055px_1_diptyque.jpg,https://www.diptyque-cn.com/media/catalog/product/b/o/bougie-feu-de-bois-300g_classic-candle-revamp-2026_fbg3_rvb_hd_fond-gris_spec-ecom_2292x3055px_1_diptyque.jpg | https://www.diptyque-cn.com/media/catalog/product/b/o/bougie-feu-de-bois-300g_classic-candle-revamp-2026_fbg3_rvb_hd_spec-ecom_2292x3055px_2_diptyque.jpg | https://www.diptyque-cn.com/media/catalog/product/f/e/feu_de_bois-close-up-300g-revamp.jpg,https://www.diptyque-cn.com/p/feu-bois-wood-fire-candle-remavp.html,FBG3,CANDLEFBG2,3,1,中号香氛蜡烛-炭木香 | 中号香氛蜡烛 | 木质香调 | candle | 香氛蜡烛 | 中号香氛蜡烛 | 炭木香 | 香氛蜡烛 | 炭木香 | 冬日降临，壁炉中燃烧着炭火，光影交错。木头噼啪作响，缓缓散发出浓郁的烟熏香气。 | 灰色手工吹制的玻璃烛罐，隐约透出微微烛光。传来木头的浓郁烟熏香气。 | -第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。 -用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。 -请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。 这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。 | -适合中型及大型房间 -香气渐进而持久（约20分钟后达到理想效果）。 -请勿将燃烧中的蜡烛遗留在无人照看的场所。 -容量：300g -燃烧时间：约75小时 -规格：高10厘米；直径9厘米,木质香调 | 中号香氛蜡烛 | 香氛蜡烛 | candle | 炭木香,diptyque_official_website
